期刊,IF,JCR,国内分区,国家,出版社
NATRUE,49.5,1,,ENGLAND,
Nature Reviews Physics,30.1,,,ENGLAND,
BRIEFINGS IN BIOINFORMATICS,11.5,1,,ENGLAND,
Journal of Chemical Information and Modeling,5,2-3,,UNITED STATES,
Molecules,4.5,3,,SWITZERLAND,
PLoS Computational Biology,4.4,2,,UNITED STATES,
BMC GENOMICS,3.9,3,,ENGLAND,
METHODS,3.5,2-3,,UNITED STATES,
BMC BIOINFORMATICS,3.1,2-3,,ENGLAND,
Expert Review of Proteomics,3.9,2,,,
NATURE MACHINE INTELLIGENCE,15.5,1,,ENGLAND,SPRINGERNATURE
PROTEOMICS,3.9,2,3,GERMANY,WILEY
CURRENT MEDICINAL CHEMISTRY,4.5,2,,,
WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE,25,1,1-2,ENGLAND,WILEY
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,5.9,1-2,2,SWITZERLAND,MDPI
Nature Communications,14.9,1,1,ENGLAND,NATURE RESEARCH
ACS Central Science,14.5,1,1,USA,AMER CHEMICAL SOC